,node,synset,Unnamed: 2,aoa,A,k
309,n04476259,Synset('tray.n.01'),,6.05,21.831466233940564,0.5986744963835108
310,n01704323,Synset('triceratops.n.01'),,5.33,30.959852157192465,0.10749083330525006
311,n04482393,Synset('tricycle.n.01'),,4.05,26.695806500413003,1.6063446574176556
312,n07613480,Synset('trifle.n.01'),,12.17,67.80240192656372,1.6277756422238205
313,n04485082,Synset('tripod.n.01'),,9.26,26.111253196932843,1.1360734375061083
314,n04487394,Synset('trombone.n.01'),,7.83,35.41902182914622,0.23276797318697795
315,n04501370,Synset('turnstile.n.01'),,13.67,55.43828145718391,0.8508820289602462
316,n01871265,Synset('tusker.n.01'),,14.71,67.552930654302,0.44570248352026104
317,n04507155,Synset('umbrella.n.01'),,5.68,9.111082380293889,0.030900861412015798
318,n04509417,Synset('unicycle.n.01'),,7.26,48.18747773353677,1.7623693191184862
319,n09468604,Synset('valley.n.01'),,7.94,70.86213574241589,0.6499486367908223
320,n04522168,Synset('vase.n.01'),,7.89,9.128119210817731,0.10293779170599673
321,n04525038,Synset('velvet.n.01'),,7.61,2.8082793453379202,0.41486144157329446
322,n04532106,Synset('vestment.n.01'),,14.15,30.321121188297905,0.5582305092529899
323,n04532670,Synset('viaduct.n.01'),,13.33,60.59903884238979,0.5614271134388088
324,n04536866,Synset('violin.n.01'),,7.45,10.435296479072269,0.2205333519447192
325,n01616318,Synset('vulture.n.01'),,8.89,20.844666547505383,0.09791890244146265
326,n01877812,Synset('wallaby.n.01'),,12.36,22.926841484971867,0.08271710978463233
327,n04548362,Synset('wallet.n.01'),,5.89,25.182879201884653,0.12549124928998623
328,n04550184,Synset('wardrobe.n.01'),,7.84,60.46032245719872,1.0040127458598054
329,n04552348,Synset('warplane.n.01'),,8.22,66.58258595704737,0.2954099913904473
330,n02397096,Synset('warthog.n.01'),,7.82,48.55933441972686,0.3747410803316156
331,n06359193,Synset('web_site.n.01'),,,,
332,n02091134,Synset('whippet.n.01'),,13.07,54.75012502113098,0.7564629608975537
333,n04584207,Synset('wig.n.01'),,5.63,50.70342312586286,0.5141465205632254
334,n02396427,Synset('wild_boar.n.01'),,,,
335,n04596742,Synset('wok.n.01'),,12.27,46.720180317786344,0.1652702524988227
336,n01883070,Synset('wombat.n.01'),,11.31,32.14925345650071,0.6786940601967105
337,n02325366,Synset('wood_rabbit.n.01'),,,,
338,n04599235,Synset('wool.n.01'),,8.06,32.704641646965534,0.11250269903457824
339,n04612504,Synset('yawl.n.01'),,11.44,54.675784233052326,0.30572754676150843
340,n04613696,Synset('yurt.n.01'),,18.6,43.446990450369256,0.07079092958112025
341,n02391049,Synset('zebra.n.01'),,4.79,84.2856587871988,1.0346678052305003
